0,1.60105895996
1,1.70388007164
2,1.80189704895
3,1.90390300751
4,2.00286602974
5,2.1048810482
6,2.20287084579
7,2.30586504936
8,2.403881073
9,2.50688791275
10,2.60495305061
11,2.70707798004
12,2.80592894554
13,2.90785193443
14,3.00590395927
15,3.10492992401
16,3.20691084862
17,3.30490398407
18,3.40791606903
19,3.5059299469
20,3.6079249382
21,3.70690703392
22,3.80891895294
23,3.906924963
24,4.00992107391
25,4.10793590546
26,4.21009993553
27,4.30910301208
28,4.4109609127
29,4.50893306732
30,4.61194896698
31,4.70992588997
32,4.81288003922
33,4.9109749794
34
